,acc
205,"[0.30139372822299654, 0.32113821138211385, 0.1521486643437863, 0.15389082462253195, 0.1910569105691057, 0.20499419279907086]"
206,"[0.3048780487804878, 0.34146341463414637, 0.15447154471544716, 0.1521486643437863, 0.1910569105691057, 0.20150987224157957]"
207,"[0.3048780487804878, 0.35772357723577236, 0.15505226480836237, 0.1521486643437863, 0.1910569105691057, 0.19686411149825783]"
208,"[0.3048780487804878, 0.3617886178861789, 0.15447154471544716, 0.15098722415795587, 0.1916376306620209, 0.19337979094076654]"
209,"[0.3118466898954704, 0.36585365853658536, 0.15389082462253195, 0.15040650406504066, 0.1916376306620209, 0.18873403019744484]"
210,"[0.3130081300813008, 0.37398373983739835, 0.1562137049941928, 0.15098722415795587, 0.19279907084785133, 0.18815331010452963]"
211,"[0.31881533101045295, 0.37398373983739835, 0.16085946573751453, 0.15156794425087108, 0.19279907084785133, 0.18641114982578397]"
212,"[0.32694541231126595, 0.37398373983739835, 0.16608594657375145, 0.15563298490127758, 0.19628339140534262, 0.18176538908246226]"
213,"[0.32926829268292684, 0.37398373983739835, 0.1718931475029036, 0.15505226480836237, 0.20092915214866433, 0.1835075493612079]"
214,"[0.32868757259001163, 0.3699186991869919, 0.17770034843205576, 0.15389082462253195, 0.20267131242741, 0.18466898954703834]"
