,acc
178,"[0.5603948896631823, 0.991869918699187, 0.3832752613240418, 0.31765389082462253, 0.23925667828106853, 0.20615563298490128]"
179,"[0.5667828106852497, 0.991869918699187, 0.3861788617886179, 0.31939605110336816, 0.2508710801393728, 0.1951219512195122]"
180,"[0.5876887340301974, 0.991869918699187, 0.3867595818815331, 0.31997677119628337, 0.25435540069686413, 0.19744483159117304]"
181,"[0.6056910569105691, 0.991869918699187, 0.3867595818815331, 0.3234610917537747, 0.25493612078977934, 0.19744483159117304]"
182,"[0.60801393728223, 0.991869918699187, 0.3885017421602787, 0.3240418118466899, 0.25493612078977934, 0.1991869918699187]"
183,"[0.6074332171893148, 0.991869918699187, 0.4024390243902439, 0.3252032520325203, 0.25609756097560976, 0.21022067363530778]"
184,"[0.6068524970963995, 0.991869918699187, 0.40476190476190477, 0.32578397212543553, 0.25667828106852497, 0.21196283391405343]"
185,"[0.6074332171893148, 0.991869918699187, 0.40534262485482, 0.32636469221835074, 0.25667828106852497, 0.21138211382113822]"
186,"[0.5940766550522648, 0.991869918699187, 0.4059233449477352, 0.32636469221835074, 0.2578397212543554, 0.21254355400696864]"
187,"[0.591753774680604, 0.991869918699187, 0.4059233449477352, 0.32694541231126595, 0.2578397212543554, 0.21196283391405343]"
188,"[0.5911730545876888, 0.991869918699187, 0.4059233449477352, 0.32752613240418116, 0.2590011614401858, 0.21196283391405343]"
189,"[0.5929152148664344, 0.991869918699187, 0.4059233449477352, 0.3281068524970964, 0.259581881533101, 0.21138211382113822]"
190,"[0.6051103368176539, 0.991869918699187, 0.4059233449477352, 0.33042973286875726, 0.2601626016260163, 0.21138211382113822]"
191,"[0.6103368176538908, 0.991869918699187, 0.4070847851335656, 0.33042973286875726, 0.259581881533101, 0.21080139372822299]"
192,"[0.610917537746806, 0.9878048780487805, 0.4070847851335656, 0.32868757259001163, 0.2584204413472706, 0.21196283391405343]"
193,"[0.6114982578397212, 0.9878048780487805, 0.40824622531939603, 0.3408826945412311, 0.2572590011614402, 0.19802555168408828]"
194,"[0.6265969802555168, 0.9878048780487805, 0.4076655052264808, 0.3426248548199768, 0.24274099883855982, 0.1986062717770035]"
195,"[0.6277584204413472, 0.9878048780487805, 0.4076655052264808, 0.34552845528455284, 0.2415795586527294, 0.2067363530778165]"
196,"[0.6300813008130082, 0.9878048780487805, 0.4094076655052265, 0.3588850174216028, 0.24041811846689895, 0.20789779326364694]"
197,"[0.6318234610917538, 0.9878048780487805, 0.41289198606271776, 0.3617886178861789, 0.24041811846689895, 0.20789779326364694]"
198,"[0.6335656213704994, 0.9878048780487805, 0.4250871080139373, 0.3629500580720093, 0.23983739837398374, 0.20789779326364694]"
199,"[0.6475029036004646, 0.983739837398374, 0.43031358885017423, 0.36527293844367015, 0.24041811846689895, 0.19337979094076654]"
200,"[0.6492450638792102, 0.983739837398374, 0.44715447154471544, 0.36585365853658536, 0.24041811846689895, 0.1916376306620209]"
201,"[0.6504065040650406, 0.983739837398374, 0.44831591173054586, 0.36643437862950057, 0.23983739837398374, 0.19221835075493612]"
202,"[0.6509872241579558, 0.983739837398374, 0.44947735191637633, 0.36643437862950057, 0.23925667828106853, 0.1910569105691057]"
203,"[0.6504065040650406, 0.983739837398374, 0.4535423925667828, 0.367595818815331, 0.23867595818815332, 0.19047619047619047]"
204,"[0.6498257839721254, 0.983739837398374, 0.46689895470383275, 0.3670150987224158, 0.23867595818815332, 0.19047619047619047]"
205,"[0.6475029036004646, 0.983739837398374, 0.4692218350754936, 0.3670150987224158, 0.23867595818815332, 0.1916376306620209]"
206,"[0.6469221835075494, 0.983739837398374, 0.46980255516840885, 0.367595818815331, 0.23867595818815332, 0.1916376306620209]"
207,"[0.6358885017421603, 0.983739837398374, 0.4732868757259001, 0.3693379790940767, 0.23867595818815332, 0.1910569105691057]"
208,"[0.6353077816492451, 0.983739837398374, 0.4819976771196283, 0.3693379790940767, 0.23867595818815332, 0.19047619047619047]"
209,"[0.6347270615563299, 0.983739837398374, 0.4831591173054588, 0.3693379790940767, 0.23867595818815332, 0.19047619047619047]"
210,"[0.6341463414634146, 0.983739837398374, 0.483739837398374, 0.3704994192799071, 0.23751451800232287, 0.1910569105691057]"
211,"[0.6364692218350755, 0.983739837398374, 0.4843205574912892, 0.3704994192799071, 0.23635307781649245, 0.1916376306620209]"
212,"[0.6521486643437863, 0.983739837398374, 0.4849012775842044, 0.3704994192799071, 0.23577235772357724, 0.1916376306620209]"
213,"[0.6527293844367015, 0.9796747967479674, 0.48606271777003485, 0.3710801393728223, 0.23577235772357724, 0.19337979094076654]"
214,"[0.6538908246225319, 0.9796747967479674, 0.48722415795586527, 0.3716608594657375, 0.23519163763066203, 0.19802555168408828]"
215,"[0.6550522648083623, 0.9796747967479674, 0.4889663182346109, 0.37340301974448314, 0.23519163763066203, 0.1986062717770035]"
216,"[0.6550522648083623, 0.9796747967479674, 0.4901277584204414, 0.37456445993031356, 0.23635307781649245, 0.1991869918699187]"
