Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
GRU,10,10,9,12.4491,0.5187,0.4175,3.7004,0.9988,0.0,0.5099,0.4672,4,9,13,1,0,11,0.0909,0.0909,1.7076
GRU,10,10,10,12.8721,0.5363,0.4358,3.585,0.9916,0.0,0.5215,0.5547,5,7,12,1,1,10,0.0909,0.1,1.7189
GRU,10,10,11,12.9678,0.5403,0.4276,3.8074,0.9976,0.0,0.4796,0.4638,8,6,14,3,1,8,0.3333,0.375,2.5816
GRU,10,10,12,12.7755,0.5323,0.3835,3.585,0.9984,0.0,0.4989,0.5633,7,5,12,1,1,10,0.0909,0.1,2.3453
GRU,10,10,13,14.008,0.5837,0.3941,3.585,0.997,0.0,0.5913,0.5773,7,5,12,2,2,8,0.2,0.25,3.6156
GRU,10,10,14,13.3013,0.5542,0.3854,3.7004,0.9952,0.0,0.6545,0.4054,8,5,13,3,2,7,0.3333,0.4286,3.4185
GRU,10,10,15,12.2942,0.5123,0.414,3.4594,0.9973,0.0,0.533,0.5539,5,6,11,1,2,9,0.0909,0.1111,1.8363
GRU,10,10,16,12.074,0.5031,0.4372,3.585,0.9972,0.0,0.5385,0.4677,6,6,12,2,2,8,0.2,0.25,2.5259
GRU,10,10,17,12.9012,0.5375,0.3509,3.585,0.9953,0.0,0.5269,0.5482,6,6,12,0,0,12,0.0,0.0,2.7232
GRU,10,10,18,7.5543,0.3063,0.2739,3.3219,0.8232,-0.0762,0.5388,0.1844,3,7,10,0,2,10,0.0,0.0,1.6915
GRU,10,10,19,14.4563,0.6023,0.3865,3.9069,0.9973,0.0,0.5659,0.4557,6,9,15,4,1,7,0.5,0.5714,4.1296
GRU,10,10,20,11.7585,0.4899,0.4416,3.4594,0.9879,0.0,0.5527,0.497,5,6,11,0,1,11,0.0,0.0,1.2374
GRU,10,10,21,12.1295,0.5054,0.3931,3.585,0.9997,0.0,0.5572,0.4535,6,6,12,0,0,12,0.0,0.0,1.6748
GRU,10,10,22,11.6841,0.4868,0.4107,3.4594,0.9925,0.0,0.4878,0.5499,6,5,11,1,2,9,0.0909,0.1111,1.7753
GRU,10,10,23,8.1263,0.337,0.2917,3.3219,0.8232,-0.0097,0.4494,0.2954,6,4,10,1,3,8,0.0909,0.125,1.9566
GRU,10,10,24,12.6967,0.529,0.3629,3.8074,0.9874,0.0,0.447,0.5003,8,6,14,3,1,8,0.3333,0.375,2.9833
GRU,10,10,25,15.4098,0.6421,0.3725,3.8074,0.9953,0.0,0.576,0.5885,8,6,14,3,1,8,0.3333,0.375,5.2649
GRU,10,10,26,13.2185,0.5508,0.4158,3.7004,0.9979,0.0,0.5341,0.5016,7,6,13,2,1,9,0.2,0.2222,2.3443
GRU,10,10,27,12.3776,0.5157,0.383,3.4594,0.9792,0.0,0.4976,0.5924,6,5,11,1,2,9,0.0909,0.1111,2.6226
