Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,17,1,0.3286415228859937
RNN-RNN,10,10,17,2,0.6933051119824802
RNN-RNN,10,10,17,3,0.7006145206996103
RNN-RNN,10,10,17,4,0.6831523185217727
RNN-RNN,10,10,17,5,0.7569332951774005
RNN-RNN,10,10,17,6,0.5996398282450031
RNN-RNN,10,10,17,7,0.7222018199688905
RNN-RNN,10,10,17,8,0.7171590827633898
RNN-RNN,10,10,17,9,0.6817344154128683
RNN-RNN,10,10,17,10,0.8315377136290072
RNN-RNN,10,10,17,11,0.5380039237020214
RNN-RNN,10,10,17,12,0.6472876161767426
RNN-RNN,10,10,17,13,0.40606499558344655
RNN-RNN,10,10,17,14,0.7351610447421782
RNN-RNN,10,10,17,15,0.7226231266940263
RNN-RNN,10,10,17,16,0.5629612222614152
RNN-RNN,10,10,17,18,0.7054840752353371
RNN-RNN,10,10,17,19,0.6225109450124107
RNN-RNN,10,10,17,20,0.5591422849198808
RNN-RNN,10,10,17,21,0.7792819686717041
RNN-RNN,10,10,17,22,0.7312266961930437
RNN-RNN,10,10,17,23,0.7729914776420997
RNN-RNN,10,10,17,24,0.6847524814408577
RNN-RNN,10,10,17,25,0.7190897090282948
RNN-RNN,10,10,17,26,0.7684589961036739
RNN-RNN,10,10,17,27,0.724450546158475
RNN-RNN,10,10,17,28,0.5019625477696361
RNN-RNN,10,10,17,29,0.7626698624669522
RNN-RNN,10,10,17,30,0.6971034937927533
RNN-RNN,10,10,18,0,0.4982416674691783
RNN-RNN,10,10,18,1,0.20844096568437545
RNN-RNN,10,10,18,2,0.6251967143110083
RNN-RNN,10,10,18,3,0.6270511703408524
RNN-RNN,10,10,18,4,0.5699165077207582
RNN-RNN,10,10,18,5,0.7908800744983863
RNN-RNN,10,10,18,6,0.43201782606832856
RNN-RNN,10,10,18,7,0.7191489335882938
RNN-RNN,10,10,18,8,0.5381073415767579
RNN-RNN,10,10,18,9,0.7377372584083054
RNN-RNN,10,10,18,10,0.720197079505437
RNN-RNN,10,10,18,11,0.5850640468423784
RNN-RNN,10,10,18,12,0.5225615251155401
RNN-RNN,10,10,18,13,0.14131180096497972
RNN-RNN,10,10,18,14,0.49851118094985847
